timestamp,open,high,low,close,volume
2018-07-19 20:00:00+00:00,0.67436,0.675,0.6742,0.67469,899
2018-07-20 00:00:00+00:00,0.67472,0.67556,0.67198,0.67489,13127
2018-07-20 04:00:00+00:00,0.6749,0.67656,0.67441,0.67564,9183
2018-07-20 08:00:00+00:00,0.67567,0.67704,0.6749,0.67648,8791
2018-07-20 12:00:00+00:00,0.67648,0.6807,0.67621,0.68014,13924
2018-07-20 16:00:00+00:00,0.68013,0.68172,0.67982,0.6815,4474
2018-07-20 20:00:00+00:00,0.68151,0.68156,0.68052,0.68052,807
2018-07-22 20:00:00+00:00,0.67946,0.68215,0.67906,0.68194,2689
2018-07-23 00:00:00+00:00,0.68199,0.6825,0.68082,0.68178,7512
2018-07-23 04:00:00+00:00,0.6818,0.68222,0.68054,0.68174,6448
2018-07-23 08:00:00+00:00,0.68174,0.68224,0.68036,0.6814,4549
2018-07-23 12:00:00+00:00,0.68138,0.6814,0.67793,0.67854,8335
2018-07-23 16:00:00+00:00,0.67849,0.67904,0.6777,0.67842,3930
2018-07-23 20:00:00+00:00,0.67842,0.67894,0.67799,0.67817,2686
2018-07-24 00:00:00+00:00,0.67818,0.67971,0.67758,0.67834,7950
2018-07-24 04:00:00+00:00,0.67836,0.67958,0.67689,0.67944,6890
2018-07-24 08:00:00+00:00,0.67944,0.68108,0.67854,0.68093,5718
2018-07-24 12:00:00+00:00,0.68088,0.68184,0.67986,0.68002,9425
2018-07-24 16:00:00+00:00,0.68002,0.68041,0.679,0.68037,3946
2018-07-24 20:00:00+00:00,0.68034,0.68078,0.67959,0.67998,3513
2018-07-25 00:00:00+00:00,0.67998,0.6812,0.67855,0.67921,7077
2018-07-25 04:00:00+00:00,0.67919,0.68078,0.67894,0.68,5303
2018-07-25 08:00:00+00:00,0.68001,0.6819,0.67952,0.6809,5462
2018-07-25 12:00:00+00:00,0.68092,0.68206,0.67983,0.68048,10226
2018-07-25 16:00:00+00:00,0.68048,0.6842,0.68004,0.68364,9360
2018-07-25 20:00:00+00:00,0.68364,0.6847,0.68287,0.68439,4273
2018-07-26 00:00:00+00:00,0.6844,0.68512,0.68335,0.68378,6187
2018-07-26 04:00:00+00:00,0.68371,0.68428,0.68261,0.68312,6306
2018-07-26 08:00:00+00:00,0.68311,0.68332,0.68136,0.68179,5527
2018-07-26 12:00:00+00:00,0.68179,0.68221,0.67864,0.67894,13435
2018-07-26 16:00:00+00:00,0.67894,0.67966,0.6781,0.67833,4148
2018-07-26 20:00:00+00:00,0.67832,0.6788,0.67772,0.67864,2339
2018-07-27 00:00:00+00:00,0.67864,0.67882,0.6774,0.67824,4410
2018-07-27 04:00:00+00:00,0.67822,0.67873,0.67726,0.67797,4691
2018-07-27 08:00:00+00:00,0.67802,0.67816,0.67624,0.67667,5437
2018-07-27 12:00:00+00:00,0.67662,0.68003,0.67658,0.67982,9938
2018-07-27 16:00:00+00:00,0.67982,0.68004,0.67902,0.67964,4156
2018-07-27 20:00:00+00:00,0.6797,0.68007,0.6789,0.67902,1681
2018-07-29 20:00:00+00:00,0.6793,0.6801,0.67922,0.67942,1372
2018-07-30 00:00:00+00:00,0.67944,0.68041,0.67914,0.67946,3826
2018-07-30 04:00:00+00:00,0.67945,0.68114,0.67935,0.68096,3833
2018-07-30 08:00:00+00:00,0.681,0.68128,0.6797,0.68068,5683
2018-07-30 12:00:00+00:00,0.68068,0.6835,0.68062,0.6829,5109
2018-07-30 16:00:00+00:00,0.6829,0.68302,0.6821,0.68214,2467
2018-07-30 20:00:00+00:00,0.68212,0.68284,0.68152,0.68238,3007
2018-07-31 00:00:00+00:00,0.6824,0.68318,0.68122,0.68233,6270
2018-07-31 04:00:00+00:00,0.68233,0.68309,0.68146,0.68149,7438
2018-07-31 08:00:00+00:00,0.68154,0.68207,0.68114,0.68188,4812
2018-07-31 12:00:00+00:00,0.68188,0.68241,0.68008,0.68105,10243
2018-07-31 16:00:00+00:00,0.68105,0.68249,0.68096,0.6816,3922
2018-07-31 20:00:00+00:00,0.68158,0.68221,0.68012,0.68014,5302
2018-08-01 00:00:00+00:00,0.68015,0.68087,0.67954,0.67974,5188
2018-08-01 04:00:00+00:00,0.67974,0.67988,0.67871,0.67942,4704
2018-08-01 08:00:00+00:00,0.6795,0.68095,0.67942,0.68028,4069
2018-08-01 12:00:00+00:00,0.68026,0.6811,0.67906,0.67934,7397
2018-08-01 16:00:00+00:00,0.67934,0.67993,0.67818,0.67889,5329
2018-08-01 20:00:00+00:00,0.67889,0.67989,0.67878,0.67942,3409
2018-08-02 00:00:00+00:00,0.6794,0.67972,0.678,0.67802,3957
2018-08-02 04:00:00+00:00,0.67804,0.67828,0.67634,0.67664,4664
2018-08-02 08:00:00+00:00,0.67666,0.67694,0.67488,0.67573,5452
2018-08-02 12:00:00+00:00,0.6757,0.67632,0.67496,0.67544,5773
2018-08-02 16:00:00+00:00,0.67544,0.67578,0.67392,0.67431,3373
2018-08-02 20:00:00+00:00,0.67429,0.6748,0.67338,0.67368,2761
2018-08-03 00:00:00+00:00,0.67367,0.67377,0.67242,0.6732,4496
2018-08-03 04:00:00+00:00,0.67315,0.67344,0.6721,0.6721,3682
2018-08-03 08:00:00+00:00,0.67204,0.6766,0.67202,0.67544,6155
2018-08-03 12:00:00+00:00,0.67545,0.67645,0.67328,0.6755,12209
2018-08-03 16:00:00+00:00,0.67548,0.67588,0.67456,0.67474,3740
2018-08-03 20:00:00+00:00,0.67473,0.67484,0.674,0.67415,665
2018-08-05 20:00:00+00:00,0.67508,0.67512,0.67373,0.67429,1397
2018-08-06 00:00:00+00:00,0.67429,0.67554,0.67414,0.67434,3868
2018-08-06 04:00:00+00:00,0.67434,0.67472,0.6734,0.67442,3851
2018-08-06 08:00:00+00:00,0.67441,0.67448,0.67256,0.67308,4139
2018-08-06 12:00:00+00:00,0.67308,0.67372,0.67242,0.67348,4154
2018-08-06 16:00:00+00:00,0.67346,0.67356,0.67294,0.67328,2146
2018-08-06 20:00:00+00:00,0.67327,0.67348,0.67262,0.67296,2269
2018-08-07 00:00:00+00:00,0.67292,0.67358,0.67248,0.67282,3706
2018-08-07 04:00:00+00:00,0.67286,0.67467,0.67258,0.67454,5089
2018-08-07 08:00:00+00:00,0.67455,0.67559,0.67447,0.67512,3980
